[NO1-A-1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
412,-2.862000,-224.652412,-1.917206
413,-2.860000,-210.158708,-1.793515
414,-2.858000,-189.867522,-1.620348
415,-2.856000,-172.475078,-1.471919
416,-2.854000,-184.070041,-1.570872
417,-2.852000,-184.070041,-1.570872
418,-2.850000,-198.563745,-1.694562
419,-2.848000,-210.158708,-1.793515
420,-2.846000,-210.158708,-1.793515
421,-2.844000,-201.462486,-1.719301
422,-2.842000,-192.766263,-1.645086
423,-2.840000,-178.272559,-1.521395
424,-2.838000,-169.576337,-1.447181
425,-2.836000,-178.272559,-1.521395
426,-2.834000,-186.968782,-1.595610
427,-2.832000,-204.361226,-1.744039
428,-2.830000,-224.652412,-1.917206
429,-2.828000,-218.854930,-1.867729
430,-2.826000,-210.158708,-1.793515
431,-2.824000,-195.665004,-1.669824
432,-2.822000,-181.171300,-1.546134
433,-2.820000,-184.070041,-1.570872
434,-2.818000,-186.968782,-1.595610
435,-2.816000,-207.259967,-1.768777
436,-2.814000,-215.956190,-1.842991
437,-2.812000,-215.956190,-1.842991
438,-2.810000,-204.361226,-1.744039
439,-2.808000,-184.070041,-1.570872
440,-2.806000,-178.272559,-1.521395
441,-2.804000,-186.968782,-1.595610
442,-2.802000,-213.057449,-1.818253
443,-2.800000,-221.753671,-1.892468
444,-2.798000,-218.854930,-1.867729
445,-2.796000,-201.462486,-1.719301
446,-2.794000,-169.576337,-1.447181
447,-2.792000,-172.475078,-1.471919
448,-2.790000,-192.766263,-1.645086
449,-2.788000,-213.057449,-1.818253
450,-2.786000,-230.449894,-1.966682
451,-2.784000,-224.652412,-1.917206
452,-2.782000,-221.753671,-1.892468
453,-2.780000,-195.665004,-1.669824
454,-2.778000,-184.070041,-1.570872
455,-2.776000,-181.171300,-1.546134
456,-2.774000,-175.373818,-1.496657
457,-2.772000,-204.361226,-1.744039
458,-2.770000,-230.449894,-1.966682
459,-2.768000,-221.753671,-1.892468
460,-2.766000,-201.462486,-1.719301
461,-2.764000,-192.766263,-1.645086
462,-2.762000,-166.677596,-1.422443
463,-2.760000,-169.576337,-1.447181
464,-2.758000,-186.968782,-1.595610
465,-2.756000,-195.665004,-1.669824
466,-2.754000,-201.462486,-1.719301
467,-2.752000,-198.563745,-1.694562
468,-2.750000,-189.867522,-1.620348
469,-2.748000,-189.867522,-1.620348
470,-2.746000,-192.766263,-1.645086
471,-2.744000,-192.766263,-1.645086
472,-2.742000,-210.158708,-1.793515
473,-2.740000,-218.854930,-1.867729
474,-2.738000,-224.652412,-1.917206
475,-2.736000,-207.259967,-1.768777
476,-2.734000,-192.766263,-1.645086
477,-2.732000,-160.880114,-1.372967
478,-2.730000,-178.272559,-1.521395
479,-2.728000,-184.070041,-1.570872
480,-2.726000,-204.361226,-1.744039
481,-2.724000,-224.652412,-1.917206
482,-2.722000,-204.361226,-1.744039
483,-2.720000,-198.563745,-1.694562
484,-2.718000,-181.171300,-1.546134
485,-2.716000,-181.171300,-1.546134
486,-2.714000,-184.070041,-1.570872
487,-2.712000,-210.158708,-1.793515
488,-2.710000,-227.551153,-1.941944
489,-2.708000,-224.652412,-1.917206
490,-2.706000,-204.361226,-1.744039
491,-2.704000,-184.070041,-1.570872
492,-2.702000,-166.677596,-1.422443
493,-2.700000,-189.867522,-1.620348
494,-2.698000,-198.563745,-1.694562
495,-2.696000,-210.158708,-1.793515
496,-2.694000,-213.057449,-1.818253
497,-2.692000,-198.563745,-1.694562
498,-2.690000,-201.462486,-1.719301
499,-2.688000,-195.665004,-1.669824
500,-2.686000,-192.766263,-1.645086
501,-2.684000,-178.272559,-1.521395
502,-2.682000,-192.766263,-1.645086
503,-2.680000,-210.158708,-1.793515
504,-2.678000,-218.854930,-1.867729
505,-2.676000,-227.551153,-1.941944
506,-2.674000,-218.854930,-1.867729
507,-2.672000,-221.753671,-1.892468
508,-2.670000,-198.563745,-1.694562
509,-2.668000,-181.171300,-1.546134
510,-2.666000,-178.272559,-1.521395
511,-2.664000,-195.665004,-1.669824
512,-2.662000,-215.956190,-1.842991
513,-2.660000,-221.753671,-1.892468
514,-2.658000,-215.956190,-1.842991
515,-2.656000,-195.665004,-1.669824
516,-2.654000,-178.272559,-1.521395
517,-2.652000,-178.272559,-1.521395
518,-2.650000,-186.968782,-1.595610
519,-2.648000,-201.462486,-1.719301
520,-2.646000,-210.158708,-1.793515
521,-2.644000,-213.057449,-1.818253
522,-2.642000,-207.259967,-1.768777
523,-2.640000,-189.867522,-1.620348
524,-2.638000,-172.475078,-1.471919
525,-2.636000,-186.968782,-1.595610
526,-2.634000,-192.766263,-1.645086
527,-2.632000,-198.563745,-1.694562
528,-2.630000,-204.361226,-1.744039
529,-2.628000,-204.361226,-1.744039
530,-2.626000,-204.361226,-1.744039
531,-2.624000,-210.158708,-1.793515
532,-2.622000,-204.361226,-1.744039
533,-2.620000,-192.766263,-1.645086
534,-2.618000,-195.665004,-1.669824
535,-2.616000,-198.563745,-1.694562
536,-2.614000,-204.361226,-1.744039
537,-2.612000,-198.563745,-1.694562
538,-2.610000,-201.462486,-1.719301
539,-2.608000,-201.462486,-1.719301
540,-2.606000,-181.171300,-1.546134
541,-2.604000,-172.475078,-1.471919
542,-2.602000,-189.867522,-1.620348
543,-2.600000,-215.956190,-1.842991
544,-2.598000,-233.348634,-1.991420
545,-2.596000,-236.247375,-2.016158
546,-2.594000,-215.956190,-1.842991
547,-2.592000,-169.576337,-1.447181
548,-2.590000,-163.778855,-1.397705
549,-2.588000,-181.171300,-1.546134
550,-2.586000,-207.259967,-1.768777
551,-2.584000,-227.551153,-1.941944
552,-2.582000,-224.652412,-1.917206
553,-2.580000,-221.753671,-1.892468
554,-2.578000,-204.361226,-1.744039
555,-2.576000,-186.968782,-1.595610
556,-2.574000,-178.272559,-1.521395
557,-2.572000,-189.867522,-1.620348
558,-2.570000,-189.867522,-1.620348
559,-2.568000,-201.462486,-1.719301
560,-2.566000,-204.361226,-1.744039
561,-2.564000,-198.563745,-1.694562
562,-2.562000,-178.272559,-1.521395
563,-2.560000,-181.171300,-1.546134
564,-2.558000,-184.070041,-1.570872
565,-2.556000,-210.158708,-1.793515
566,-2.554000,-210.158708,-1.793515
567,-2.552000,-207.259967,-1.768777
568,-2.550000,-198.563745,-1.694562
569,-2.548000,-186.968782,-1.595610
570,-2.546000,-189.867522,-1.620348
571,-2.544000,-198.563745,-1.694562
572,-2.542000,-198.563745,-1.694562
573,-2.540000,-207.259967,-1.768777
574,-2.538000,-218.854930,-1.867729
575,-2.536000,-201.462486,-1.719301
576,-2.534000,-192.766263,-1.645086
577,-2.532000,-189.867522,-1.620348
578,-2.530000,-186.968782,-1.595610
579,-2.528000,-204.361226,-1.744039
580,-2.526000,-210.158708,-1.793515
581,-2.524000,-204.361226,-1.744039
