[NO1-A-1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
286,-3.228000,-126.095225,-1.076109
287,-3.226000,-137.690188,-1.175062
288,-3.224000,-134.791447,-1.150323
289,-3.222000,-131.892706,-1.125585
290,-3.220000,-120.297743,-1.026633
291,-3.218000,-120.297743,-1.026633
292,-3.216000,-123.196484,-1.051371
293,-3.214000,-123.196484,-1.051371
294,-3.212000,-120.297743,-1.026633
295,-3.210000,-123.196484,-1.051371
296,-3.208000,-128.993966,-1.100847
297,-3.206000,-140.588929,-1.199800
298,-3.204000,-126.095225,-1.076109
299,-3.202000,-114.500262,-0.977156
300,-3.200000,-94.209076,-0.803989
301,-3.198000,-111.601521,-0.952418
302,-3.196000,-131.892706,-1.125585
303,-3.194000,-137.690188,-1.175062
304,-3.192000,-126.095225,-1.076109
305,-3.190000,-105.804039,-0.902942
306,-3.188000,-91.310335,-0.779251
307,-3.186000,-100.006558,-0.853466
308,-3.184000,-120.297743,-1.026633
309,-3.182000,-131.892706,-1.125585
310,-3.180000,-137.690188,-1.175062
311,-3.178000,-137.690188,-1.175062
312,-3.176000,-120.297743,-1.026633
313,-3.174000,-102.905298,-0.878204
314,-3.172000,-91.310335,-0.779251
315,-3.170000,-105.804039,-0.902942
316,-3.168000,-126.095225,-1.076109
317,-3.166000,-149.285151,-1.274014
318,-3.164000,-149.285151,-1.274014
319,-3.162000,-137.690188,-1.175062
320,-3.160000,-114.500262,-0.977156
321,-3.158000,-108.702780,-0.927680
322,-3.156000,-114.500262,-0.977156
323,-3.154000,-126.095225,-1.076109
324,-3.152000,-137.690188,-1.175062
325,-3.150000,-137.690188,-1.175062
326,-3.148000,-134.791447,-1.150323
327,-3.146000,-120.297743,-1.026633
328,-3.144000,-114.500262,-0.977156
329,-3.142000,-108.702780,-0.927680
330,-3.140000,-123.196484,-1.051371
